2000^  Broadband Internet access is the future for PCs, TVs and other information appliances. Several online companies are retooling their offerings to include rich audio, video and interactive media that will take full advantage of fatter Net pipes. But the plain old telephone is making a surprising comeback. A growing number of companies are rolling out Net-access services that work over wired and wireless phones.
2001^  The future is likely to see homes with one full PC and an assortment of other specialized devices such as Web browsers or music players. The main reason this has not happened is that the devices, or information appliances, have so far not been very good. And they remain isolated gadgets, incapable of working together. Also, speech and vision capabilities will likely be incorporated, but currently are not well-developed.
2001^  The people who run struggling online media, e-commerce, and networking companies think they have identified the elixir to revive the Internet: broadband. They are all betting that high-speed Internet service will spur multimedia ads, snazzy video, and the ability to make impulse purchases. Unfortunately, it is a bad bet.
2002^  With PC sales expected to decline for the second straight year as corporate spending withers, Microsoft is aiming its big guns on entertainment goodies for the home.
2003^  After dominating the market for Internet access for nearly a decade, AOL has seen its 25 million US members begin to defect in droves to cut-rate dial-up competitors and to broadband rivals who are beginning to slash their monthly fees in a burgeoning price war. Now, AOL is launching a new effort to stem the tide. On July 31, the company will release the most significant upgrade to its software in years, certainly since the disastrous merger with Time Warner was unveiled in January, 2000. AOL 9.0 will boast over 100 new features, including faster downloads, free e-mail storage on AOL's computers, and an easy way for subscribers to keep blogs, or online journals. Most important, AOL 9.0 will be the doorway to a brand-new world of online content. It is designed to help subscribers tap into a growing number of music, video, and magazine offerings from Time Warner.
2003^  Tired of those trips to the video store to rent the latest DVD? Hollywood says it has the answer in a pair of online movie stores that let you download the latest Arnold or Julia flick directly to your computer. But, like everything Hollywood offers up, the magic is getting it on the screen. Unless you've got an up-to-date PC and a broadband connection, neither site is a real blockbuster. For starters, neither Movielink nor CinemaNow stocks nearly as many titles as your local video store. For those who just want to see Matrix Reloaded, the local video palace still beats these sites.
2003^  After years of anticipation, this holiday season seems destined to go down in the books as the First Broadband Christmas. Thanks to sharp cuts in the price of high-speed Internet access, the number of U.S. homes with broadband has jumped 38% from last holiday season to 22 million, according to consulting firm IDC. That spells big opportunities for e-merchants. Not only are broadband customers online for more of the day than their dial-up brethren, they also spend as much as 30% more. To reel in these shoppers, e-tailers ranging from Amazon.com Inc. to shoe site Zappos.com Inc. are ugrading their Web sites with videos, better pictures, more sophisticated product comparisons, and the ability to customize everything from diamond rings to dress shirts.
2004^Third-generation mobile-phone service is taking off in Europe. The 3G that had provoked a $120 billion spectrum-licensing frenzy during the dot-com boom and then nearly destroyed Europe's telecommunications industry with multibillion-dollar losses has now finally arrived with its promise of cheaper voice calls, fast wireless Internet access, and exciting multi-media services such as streaming video clips and online gaming. Giants like Vodafone, T-Mobile, and Orange are rolling out business and consumer 3G service all over Europe.
2004^Bernardus J. Verwaayen, the chief executive of London-based BT Group PLC, has in the past two years increased revenues, boosted margins, and restored positive cash flow. Verwaayen has now launched another bold plan. He intends to transfer the bulk of the companys core phone network by 2008 to a 21st century network using Internet technology. BT and Yahoo! have launched a leading-edge broadband package that lets customers send e-mail and instant messages, make phone and video calls over the Net, and manage contacts online. A new product, code-named Project Bluetooth, that could revolutionize telephony by erasing the gap between fixed and mobile service is also in the pipeline.
2004^  The US has steadily fallen behind other nations, both in terms of the share of the population with broadband and the speed of those connections. Broadband is the foundation upon which entire new generations of technology will be built: full-motion video, Web-based medical care, more sophisticated Internet telephoning, and online gaming. That's why the US is in dire need of stronger leadership in broadband. Both President George W. Bush and Democratic Presidential candidate John F. Kerry have pledged to tackle the issue after the election. But so far, their proposals are modest. Most markets are cozy duopolies, at best, where consumers can get broadband only from a phone or cable company. To have any hope of joining the world's broadband vanguard, the US must create a viable third competitor. Congress is unlikely to force politically powerful Bells to share their networks. Much more promising is the rivalry that might be sparked by new, inexpensive wireless technologies.
2004^  It looked like a boffo debut for William H. Gates III and his attempt to go Hollywood. Since the debacle, Microsoft has phased out the geeks in favor of Hollywood insiders. The company's goal is to persuade the studios to wrap their movies in Microsoft's software, which the company is offering for free. That way, Microsoft can turn around and sell the software that plays these digital versions of movies to computer makers, consumer-electronics companies, and online video services. The new approach is helping Microsoft make headway. Still, the studios remain wary of Microsoft, given its bruising monopolistic practices of the past.
2004^  Now that Apple has reinvented itself as the king of the digital music world, Microsoft is trying to wrestle that mantle away with a new breed of iPod rivals, including ones that play color video as well as music. On Sept. 2, the company is launching its most comprehensive foray yet into the digital media world. Portable video players, which run on Microsoft software and are made by Samsung Group and others, are just a piece of the tech giant's plan to steal Apple's rock 'n' roll mojo. Microsoft also is opening the doors to an online music store that includes a handful of popular artists that Apple's iTunes site doesn't have. More important, the company is rolling out an update of its Windows Media Player audio and video software that's designed to make it just as easy to purchase and manage music with Microsoft powered gear as it is with Apple's iPod and iTunes combo.
2004^  Advertisers are seeing that the top few Web properties now reach true mass audiences. Each of the 3 biggest portals - AOL, MSN, and Yahoo! - attracts 70% of the Americans online to its properties monthly, according to comScore Networks, a traffic-tracking organization. Demand for this prime real estate is so strong that there isn't enough to go around, and prices to advertise are soaring. Facing a traffic jam at the top sites, advertisers are jostling for spots throughout the Net. The Internet is growing up. Broadband connections now reach more than half of American households, including the lion's share of the prosperous ones. Now that advertisers have their hands on a tool that measures an ad's effectiveness, they're starting to press other media for similar accountability. It's a process sure to cause disruptions. The portals are taking advantage of the hot video market to funnel advertisers toward thousands of their less-trafficked pages.
2005^  The latest Net phenomenon is video blogs, or what some folks call vlogs. Thousands of ordinary people have begun posting a cornucopia of video fare online, from self-indulgent art clips and earnest citizen journalism to sly political commentary. Experimentation is the rule, and eccentrics outnumber serious practitioners. But amid the chaos, glimpses of a commercial future are starting to emerge, including a revival of online video distribution, using vlogs to sell ads, and corporate sites designed to reach out to customers and suppliers. Online video had a brief heyday during the late 1990s, with indie-flick sites with the aim of developing online movie distribution. Those dreams mostly ended with the popping of the Net bubble. But thanks to the blog craze and the proliferation of high-speed broadband, new pioneers are emerging. The development is due in large part to the spread of better distribution technology.
